Date,LP_Value,FD_Value
2017-03-08,1069415.0821634922,1028612.1477229429
2017-03-09,1074169.7846565102,1028681.7367104135
2017-03-10,1077147.115535494,1028751.3304058074
2017-03-13,1071470.6577898816,1028820.9288094433
2017-03-14,1072867.2151266586,1028890.5319216392
2017-03-15,1072748.7342305812,1028960.1397427144
2017-03-16,1063415.4134104024,1029029.7522729872
2017-03-17,1063347.9056009697,1029099.3695127759
2017-03-20,1063396.9325143252,1029168.9914623996
2017-03-21,1060299.0877293712,1029238.6181221764
2017-03-22,1063524.0766034313,1029308.2494924255
2017-03-23,1062203.603432512,1029377.885573465
2017-03-24,1062412.8438805507,1029447.5263656143
2017-03-27,1059810.401922354,1029517.1718691913
2017-03-28,1058774.05812026,1029586.8220845155
2017-03-29,1060782.553006583,1029656.4770119052
2017-03-30,1059170.656192088,1029726.1366516794
2017-03-31,1061281.1840883037,1029795.8010041568
2017-04-03,1061519.6016353415,1029865.4700696564
2017-04-04,1060381.2248233547,1029935.1438484967
2017-04-05,1062637.377704754,1030004.822340997
2017-04-06,1064055.9047023845,1030074.5055474758
2017-04-07,1065408.7832272667,1030144.1934682523
2017-04-10,1068080.1887497795,1030213.8861036452
2017-04-11,1067218.6470318683,1030283.5834539739
2017-04-12,1066539.2016728898,1030353.2855195567
2017-04-13,1060614.9990955968,1030422.9923007133
2017-04-14,1063009.6563606379,1030492.7037977623
2017-04-17,1061361.3750089984,1030562.4200110228
2017-04-18,1063049.3559893507,1030632.1409408139
2017-04-19,1061430.2517367103,1030701.866587455
2017-04-20,1063220.2657269556,1030771.5969512645
2017-04-21,1063742.7258062148,1030841.3320325622
2017-04-24,1059574.098855311,1030911.071831667
2017-04-25,1060030.9972984265,1030980.816348898
2017-04-26,1060604.517300934,1031050.5655845745
2017-04-27,1061709.73783074,1031120.3195390158
2017-04-28,1062836.8411847951,1031190.078212541
2017-05-01,1063148.1146427267,1031259.8416054692
2017-05-02,1062694.4444545754,1031329.60971812
2017-05-03,1060565.4356622822,1031399.3825508126
2017-05-04,1063717.5686254487,1031469.1601038664
2017-05-05,1066061.1659672412,1031538.9423776005
2017-05-08,1070539.1202027877,1031608.7293723347
2017-05-09,1070056.3597522413,1031678.5210883877
2017-05-10,1073529.006621378,1031748.3175260795
2017-05-11,1074743.5544358264,1031818.1186857296
2017-05-12,1071951.6350073433,1031887.9245676568
2017-05-15,1069370.989036792,1031957.7351721814
2017-05-16,1064524.8629001984,1032027.5504996224
2017-05-17,1062694.4851896265,1032097.3705502992
2017-05-18,1060361.5840507555,1032167.1953245318
2017-05-19,1061204.558035985,1032237.0248226393
2017-05-22,1056686.240080112,1032306.8590449418
2017-05-23,1056815.4171791112,1032376.6979917584
2017-05-24,1060448.2775829309,1032446.541663409
2017-05-25,1055696.8901814807,1032516.3900602133
2017-05-26,1056896.8494464296,1032586.2431824908
2017-05-29,1054680.3961937432,1032656.1010305613
2017-05-30,1058094.7757014856,1032725.9636047443
2017-05-31,1057553.834726149,1032795.8309053599
2017-06-01,1055621.424005684,1032865.7029327278
2017-06-02,1057884.871161833,1032935.5796871673
2017-06-05,1054794.3206516288,1033005.4611689987
2017-06-06,1054391.710386726,1033075.347378542
2017-06-07,1053180.5645004492,1033145.2383161164
2017-06-08,1055604.2251912814,1033215.1339820421
2017-06-09,1055594.9847432429,1033285.0343766388
2017-06-12,1057231.9926369507,1033354.9395002271
2017-06-13,1057149.8962780181,1033424.8493531259
2017-06-14,1055334.1071169456,1033494.7639356559
2017-06-15,1050422.4193442082,1033564.6832481371
2017-06-16,1056990.96482501,1033634.6072908889
2017-06-19,1056602.9431096066,1033704.5360642319
2017-06-20,1059806.0491594174,1033774.4695684856
2017-06-21,1061188.104783299,1033844.4078039706
2017-06-22,1061062.3296124716,1033914.3507710067
2017-06-23,1062145.667318028,1033984.2984699141
2017-06-26,1060104.1029861285,1034054.2509010129
2017-06-27,1061333.1525134724,1034124.2080646232
2017-06-28,1059896.1446197648,1034194.1699610653
2017-06-29,1056645.3805748774,1034264.136590659
2017-06-30,1054392.455948442,1034334.1079537251
2017-07-03,1052729.6728839069,1034404.0840505835
2017-07-04,1056755.9899411951,1034474.0648815545
2017-07-05,1056761.2512060518,1034544.050446958
2017-07-06,1056365.9352158988,1034614.0407471152
2017-07-07,1057398.2998348107,1034684.0357823457
2017-07-10,1057330.7920253777,1034754.03555297
2017-07-12,1056775.1756639373,1034824.0400593085
2017-07-13,1053713.7154161283,1034894.0493016816
2017-07-14,1051883.4245421605,1034964.0632804098
2017-07-17,1049171.6552993208,1035034.0819958133
2017-07-18,1049344.5112102148,1035104.1054482128
2017-07-19,1046552.5917817317,1035174.1336379285
2017-07-20,1048167.7168511901,1035244.1665652812
2017-07-21,1046519.4354995505,1035314.2042305912
2017-07-24,1043392.5004522016,1035384.2466341791
2017-07-25,1043893.1645438155,1035454.2937763656
2017-07-26,1044677.8711676509,1035524.345657471
2017-07-27,1039686.120045874,1035594.4022778161
2017-07-28,1041257.4794668336,1035664.4636377215
2017-07-31,1040687.3613924979,1035734.5297375078
2017-08-01,1039548.984580511,1035804.6005774956
2017-08-02,1041929.0532960526,1035874.6761580057
2017-08-03,1043478.616729367,1035944.7564793589
2017-08-04,1041233.0732142855,1036014.841541876
2017-08-07,1043809.7400016551,1036084.9313458774
2017-08-08,1044973.2278928551,1036155.0258916839
2017-08-09,1045634.1923557563,1036225.1251796166
