Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2015-12-21,1294787.9380667417,1017182.3283542112,1231537.9380667417
2015-12-22,1289167.8287094662,1017251.096973504,1225667.8287094662
2015-12-23,1293283.5371231986,1017319.870242035,1229533.5371231986
2015-12-24,1288665.6282376947,1017388.6481601186,1224665.6282376947
2015-12-25,1288915.6282376947,1017457.4307280693,1224665.6282376947
2015-12-28,1296009.2647562413,1017526.217946201,1231509.2647562413
2015-12-29,1292536.7863554365,1017595.0098148285,1227786.7863554365
2015-12-30,1290095.1817369035,1017663.8063342662,1225095.1817369035
2015-12-31,1294497.2136369173,1017732.6075048283,1229247.2136369173
2016-01-01,1294747.2136369173,1017801.4133268294,1229247.2136369173
2016-01-04,1301010.4164675465,1017870.2238005839,1235260.4164675465
2016-01-05,1311110.6544014078,1017939.0389264063,1245110.6544014078
2016-01-06,1311503.8844143355,1018007.8587046111,1245253.8844143355
2016-01-07,1330652.5999046408,1018076.6831355128,1264152.5999046408
2016-01-08,1322598.5361046134,1018145.5122194261,1255848.5361046134
2016-01-11,1328432.3219756074,1018214.3459566655,1261432.3219756074
2016-01-12,1324816.6135618752,1018283.1843475455,1257566.6135618752
2016-01-13,1327071.0145054183,1018352.027392381,1259571.0145054183
2016-01-14,1317871.6567602656,1018420.8750914863,1250121.6567602656
2016-01-15,1319696.6407441734,1018489.7274451763,1251696.6407441734
2016-01-18,1330684.522447379,1018558.5844537654,1262434.522447379
2016-01-19,1326496.167061084,1018627.4461175686,1257996.167061084
2016-01-20,1320017.0872449647,1018696.3124369006,1251267.0872449647
2016-01-21,1321555.6112030174,1018765.1834120761,1252555.6112030174
2016-01-22,1311497.2829990208,1018834.0590434098,1242247.2829990208
2016-01-25,1291216.3734433807,1018902.9393312164,1221716.3734433807
2016-01-26,1295961.9389111025,1018971.8242758107,1226211.9389111025
2016-01-27,1289339.6290820555,1019040.713877508,1219339.6290820555
2016-01-28,1286726.2576796685,1019109.6081366227,1216476.2576796685
2016-01-29,1261491.5558465973,1019178.5070534698,1190991.5558465973
2016-02-01,1263745.9567901404,1019247.410628364,1192995.9567901404
2016-02-02,1260846.261901472,1019316.3188616205,1189846.261901472
2016-02-03,1281140.2713369026,1019385.2317535543,1209890.2713369026
2016-02-04,1261346.261901472,1019454.1493044802,1189846.261901472
2016-02-05,1246420.0248119715,1019523.071514713,1174670.0248119715
2016-02-08,1262562.1388869623,1019591.9983845678,1190562.1388869623
2016-02-09,1268395.7882183825,1019660.9299143599,1196145.7882183825
2016-02-10,1262575.2387667529,1019729.8661044041,1190075.2387667529
2016-02-11,1248994.8722563055,1019798.8069550154,1176244.8722563055
2016-02-12,1250247.0727280772,1019867.7524665092,1177247.0727280772
2016-02-15,1261091.860957929,1019936.7026392004,1187841.860957929
2016-02-16,1254183.2276426007,1020005.657473404,1180683.2276426007
2016-02-17,1273761.496632115,1020074.6169694352,1200011.496632115
2016-02-18,1266280.07980465,1020143.5811276096,1192280.07980465
2016-02-19,1267245.9567901404,1020212.5499482417,1192995.9567901404
2016-02-22,1278806.6220054824,1020281.5234316473,1204306.6220054824
2016-02-23,1267745.9567901404,1020350.5015781414,1192995.9567901404
2016-02-24,1289328.6267231978,1020419.4843880392,1214328.6267231978
2016-02-25,1279842.9454917638,1020488.4718616558,1204592.9454917638
2016-02-26,1277372.6675627304,1020557.4639993071,1201872.6675627304
2016-02-29,1283063.223420797,1020626.4608013078,1207313.223420797
2016-03-01,1275066.5062417702,1020695.4622679738,1199066.5062417702
